danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,k_cluster,id
0.604,0.658,-9.106,0.0407,0.345,0.223,0.0924,0.281,120.928,236149,0,01rAwlFDrRT2FzimFTXrKB
0.543,0.935,-4.219,0.035,0.00075,0.0422,0.0605,0.113,139.994,185143,0,01RAzNXzixPvgS9DxE4Ytu
0.744,0.0938,-12.294,0.0588,0.777,0.905,0.0866,0.591,83.0,175747,2,01SsBC3CxPCcdrBkx2uCKs
0.205,0.125,-21.878,0.0413,0.978,0.846,0.0807,0.0354,55.957,230400,4,01swmPcAsBLngrftxpju2w
0.322,0.0121,-31.994,0.0491,0.993,0.927,0.127,0.118,112.464,160897,4,01T3AjynqSMVfiAQCAfrKJ
0.849,0.574,-4.789,0.0698,0.27,0.0,0.0847,0.972,155.966,126516,1,01uePcvWj4yclJUpSQ6LGq
0.677,0.466,-6.621,0.0257,0.63,0.0016,0.0856,0.88,87.876,182240,1,01UgMLytEqNVhC6YAMzsrh
0.607,0.658,-5.552,0.0262,0.0103,0.0224,0.0537,0.567,99.983,207587,1,01uJ0nx8ks1MZuaO03Ql5Q
0.816,0.175,-16.829,0.104,0.514,0.00035,0.123,0.627,119.93,124613,2,01UpYESbVXq1ROfERPHu9v
0.688,0.473,-9.059,0.167,0.716,4.46e-05,0.104,0.299,84.958,318525,2,01uqI4H13Gsd8Lyl1EYd8H
0.427,0.416,-13.134,0.0346,0.845,0.000633,0.0838,0.647,172.456,256341,2,01US6qSOiVt2w94P3MbV2G
0.603,0.593,-6.298,0.0325,0.0292,0.0114,0.106,0.342,131.974,260241,0,01Uu5dFibZMWAmJx4gPKWt
0.567,0.918,-4.472,0.051,0.066,0.0,0.188,0.52,113.989,180399,1,01UY2mY6cPEcsd7zIz0cB4
0.49,0.581,-6.566,0.0388,0.553,0.0177,0.0764,0.318,88.718,205480,2,01UYpHuzHi4eB9PAbDoPY2
0.675,0.0867,-14.425,0.877,0.58,0.0,0.143,0.273,116.298,230227,3,01VjBD946PQcwpWLOHKX1p
0.606,0.343,-7.911,0.0289,0.683,0.00109,0.109,0.0841,120.048,222627,2,01wGBCQrxtUnVGj6Hw8YP4
